Name,Abbrev,Status,Year,City,Country,Mass(kg),Lat_n,Long_n
Abadla,,Official,2015,Bechar, Algeria,0.222,30.9333,-2.7
Abajo,,Official,1982,Chihuahua, Mexico,0.331,26.8,-105.417
Abar al' Uj 001,AaU 001,Official,2008,Ash Sharqiyah, Saudi Arabia,0.1943,22.7167,48.95
Abar al' Uj 002,AaU 002,Official,2012,Ash Sharqiyah, Saudi Arabia,0.224,22.5333,48.7167
Abar al' Uj 003,AaU 003,Official,2012,Ash Sharqiyah, Saudi Arabia,0.795,22.5333,48.6333
Abar al' Uj 004,AaU 004,Official,2012,Ash Sharqiyah, Saudi Arabia,0.284,22.5333,48.7667
Abar al' Uj 005,AaU 005,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0574,22.4667,48.6167
Abar al' Uj 006,AaU 006,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0837,22.45,48.5833
Abar al' Uj 007,AaU 007,Official,2012,Ash Sharqiyah, Saudi Arabia,0.952,22.45,48.5667
Abar al' Uj 008,AaU 008,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0371,22.4,48.5167
Abar al' Uj 009,AaU 009,Official,2012,Ash Sharqiyah, Saudi Arabia,0.094,22.4167,48.5667
Abar al' Uj 010,AaU 010,Official,2012,Ash Sharqiyah, Saudi Arabia,0.386,22.5167,48.7833
Abar al' Uj 011,AaU 011,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0616,22.4667,48.7667
Abar al' Uj 012,AaU 012,Official,2012,Ash Sharqiyah, Saudi Arabia,0.1228,22.4,48.7
Abar al' Uj 013,AaU 013,Official,2012,Ash Sharqiyah, Saudi Arabia,0.1856,22.3833,48.6833
Abar al' Uj 014,AaU 014,Official,2012,Ash Sharqiyah, Saudi Arabia,0.429,22.4333,48.8667
Abar al' Uj 015,AaU 015,Official,2012,Ash Sharqiyah, Saudi Arabia,0.053,22.7333,48.8
Abar al' Uj 016,AaU 016,Official,2012,Ash Sharqiyah, Saudi Arabia,0.269,22.85,48.9
Abar al' Uj 017,AaU 017,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0427,22.9333,48.9333
Abar al' Uj 018,AaU 018,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0269,22.9333,48.9333
Abar al' Uj 019,AaU 019,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0487,22.9333,48.95
Abar al' Uj 020,AaU 020,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0173,22.95,48.95
Abar al' Uj 021,AaU 021,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0088,22.95,48.95
Abar al' Uj 022,AaU 022,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0183,22.95,48.95
Abar al' Uj 023,AaU 023,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0115,22.95,48.95
Abar al' Uj 024,AaU 024,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0062,22.95,48.95
Abar al' Uj 025,AaU 025,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0091,22.95,48.95
Abar al' Uj 026,AaU 026,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0069,22.95,48.9333
Abar al' Uj 027,AaU 027,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0116,22.95,48.9333
Abar al' Uj 028,AaU 028,Official,2012,Ash Sharqiyah, Saudi Arabia,0.00378,22.95,48.9333
Abar al' Uj 029,AaU 029,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0101,22.95,48.9333
Abar al' Uj 030,AaU 030,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0539,22.95,48.9333
Abar al' Uj 031,AaU 031,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0199,22.95,48.9333
Abar al' Uj 032,AaU 032,Official,2012,Ash Sharqiyah, Saudi Arabia,0.049,22.9333,48.9333
Abar al' Uj 033,AaU 033,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0771,22.9333,48.9333
Abar al' Uj 034,AaU 034,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0442,22.9333,48.9333
Abar al' Uj 035,AaU 035,Official,2012,Ash Sharqiyah, Saudi Arabia,0.1195,22.9333,48.95
Abar al' Uj 036,AaU 036,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0709,22.9333,48.9333
Abar al' Uj 037,AaU 037,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0934,22.9333,48.95
Abar al' Uj 038,AaU 038,Official,2012,Ash Sharqiyah, Saudi Arabia,0.1869,22.9333,48.95
Abar al' Uj 039,AaU 039,Official,2012,Ash Sharqiyah, Saudi Arabia,0.0233,22.9333,48.95
Abar al' Uj 040,AaU 040,Official,2012,Ash Sharqiyah, Saudi Arabia,0.1064,22.9333,48.8333
Abar al' Uj 041,AaU 041,Official,2012,Ash Sharqiyah, Saudi Arabia,1.374,22.9167,48.95
Abar al' Uj 042,AaU 042,Official,2012,Ash Sharqiyah, Saudi Arabia,0.1375,22.9,48.9333
Abarkouh 001,,Official,2014,Fars, Iran,1.8,31.3,53.1667
Abarkouh 002,,Official,2014,Fars, Iran,0.95,31.3,53.1667
Abarkouh 003,,Official,2014,Fars, Iran,2.2,31.2833,53.1833
Abarkouh 004,,Official,2016,Fars, Iran,1.53,31.25,53.4167
Abbans-Dessous,,Official,2015,Franche-Comt¨¦,France,0.00312,47.1167,5.86667
Abu Moharek,,Official,1997,Al Wadi al Jadid, Egypt,4.5,27.2333,29.8333
Acapulco,,Official,1976,Guerrero, Mexico,1.914,16.8833,-99.9
Acfer 001,,Official,1989,Tamanghasset, Algeria,6.7,27.5,3.61667
Acfer 002,,Official,1989,Tamanghasset, Algeria,0.228,27.6167,3.85
Acfer 003,,Official,1989,Tamanghasset, Algeria,0.145,27.8167,4.03333
Acfer 004,,Official,1989,Tamanghasset, Algeria,1.02,27.5833,3.81667
Acfer 005,,Official,1989,Tamanghasset, Algeria,0.115,27.6,3.83333
Acfer 006,,Official,1989,Tamanghasset, Algeria,0.561,27.6333,3.96667
Acfer 007,,Official,1989,Tamanghasset, Algeria,0.542,27.5167,3.65
Acfer 008,,Official,1989,Tamanghasset, Algeria,0.205,27.5333,3.7
Acfer 009,,Official,1989,Tamanghasset, Algeria,0.127,27.7333,4.08333
Acfer 010,,Official,1989,Tamanghasset, Algeria,0.276,27.75,4.1
Acfer 011,,Official,1989,Tamanghasset, Algeria,3.8,27.75,4.16667
Acfer 012,,Official,1989,Tamanghasset, Algeria,0.098,27.8,4.16667
Acfer 013,,Official,1989,Tamanghasset, Algeria,0.49,27.8333,4.28333
Acfer 014,,Official,1989,Tamanghasset, Algeria,0.307,27.8,4.46667
Acfer 015,,Official,1989,Tamanghasset, Algeria,0.098,27.7833,4.28333
Acfer 016,,Official,1989,Tamanghasset, Algeria,0.111,27.7167,4.48333
Acfer 017,,Official,1989,Tamanghasset, Algeria,0.446,27.7333,4.4
Acfer 018,,Official,1989,Tamanghasset, Algeria,0.207,27.7,4.08333
Acfer 019,,Official,1989,Tamanghasset, Algeria,0.581,27.7,4.06667
Acfer 020,,Official,1989,Tamanghasset, Algeria,0.708,27.7,4.06667
Acfer 021,,Official,1989,Tamanghasset, Algeria,2.14,27.55,3.61667
Acfer 022,,Official,1989,Tamanghasset, Algeria,0.192,27.5167,3.83333
Acfer 023,,Official,1989,Tamanghasset, Algeria,0.118,27.5167,3.91667
Acfer 024,,Official,1989,Tamanghasset, Algeria,1.464,27.55,3.93333
Acfer 025,,Official,1989,Tamanghasset, Algeria,0.92,27.5833,3.96667
Acfer 026,,Official,1989,Tamanghasset, Algeria,0.088,27.6167,4.05
Acfer 027,,Official,1989,Tamanghasset, Algeria,0.206,27.6667,4.2
Acfer 028,,Official,1989,Tamanghasset, Algeria,3.13,27.6667,4.25
Acfer 029,,Official,1989,Tamanghasset, Algeria,0.098,27.6833,4.33333
Acfer 030,,Official,1989,Tamanghasset, Algeria,0.123,27.6833,4.41667
Acfer 031,,Official,1989,Tamanghasset, Algeria,2.02,27.6667,4.35
Acfer 032,,Official,1989,Tamanghasset, Algeria,0.495,27.65,4.46667
Acfer 033,,Official,1989,Tamanghasset, Algeria,0.093,27.65,4.43333
Acfer 034,,Official,1989,Tamanghasset, Algeria,0.184,27.6333,4.35
Acfer 035,,Official,1989,Tamanghasset, Algeria,0.036,27.6,4.3
Acfer 036,,Official,1989,Tamanghasset, Algeria,0.112,27.5833,4.25
Acfer 037,,Official,1989,Tamanghasset, Algeria,0.385,27.55,4.13333
Acfer 038,,Official,1989,Tamanghasset, Algeria,0.962,27.5333,4
Acfer 039,,Official,1989,Tamanghasset, Algeria,0.225,27.5333,3.91667
Acfer 040,,Official,1989,Tamanghasset, Algeria,0.146,27.4667,3.78333
Acfer 041,,Official,1989,Tamanghasset, Algeria,0.134,27.4333,3.71667
Acfer 042,,Official,1989,Tamanghasset, Algeria,0.246,27.4667,3.83333
Acfer 043,,Official,1989,Tamanghasset, Algeria,0.12,27.5167,3.91667
Acfer 044,,Official,1989,Tamanghasset, Algeria,0.195,27.55,4
Acfer 045,,Official,1989,Tamanghasset, Algeria,0.294,27.75,4.7
Acfer 046,,Official,1989,Tamanghasset, Algeria,1.066,27.7833,4.7
Acfer 047,,Official,1989,Tamanghasset, Algeria,1.44,27.8333,4.7
Acfer 048,,Official,1989,Tamanghasset, Algeria,0.115,27.55,4.08333
Acfer 049,,Official,1989,Tamanghasset, Algeria,0.0829,27.4167,3.71667
Acfer 050,,Official,1989,Tamanghasset, Algeria,1.394,27.65,4.5
Acfer 051,,Official,1989,Tamanghasset, Algeria,0.905,27.6167,4.41667
Acfer 052,,Official,1989,Tamanghasset, Algeria,0.058,27.75,4.15
Acfer 053,,Official,1989,Tamanghasset, Algeria,1.937,27.7333,4.05
Acfer 054,,Official,1989,Tamanghasset, Algeria,2.05,27.7,3.93333
Acfer 055,,Official,1989,Tamanghasset, Algeria,1.338,27.5,3.98333
Acfer 056,,Official,1989,Tamanghasset, Algeria,0.129,27.4667,3.88333
Acfer 057,,Undocumented,1989,Tamanghasset, Algeria,0.12,27.4167,3.81667
Acfer 058,,Official,1989,Tamanghasset, Algeria,0.277,27.3833,3.71667
Acfer 059,,Official,1989,Tamanghasset, Algeria,0.281,27.5167,4.06667
Acfer 060,,Official,1989,Tamanghasset, Algeria,0.226,27.5667,4.16667
Acfer 061,,Official,1989,Tamanghasset, Algeria,0.105,27.6,4.25
Acfer 062,,Official,1989,Tamanghasset, Algeria,0.283,27.6,4.41667
Acfer 063,,Official,1989,Tamanghasset, Algeria,0.716,27.6167,4.56667
Acfer 064,,Official,1989,Tamanghasset, Algeria,0.854,27.6167,4.56667
Acfer 065,,Official,1989,Tamanghasset, Algeria,1.539,27.5,4.28333
Acfer 066,,Official,1990,Tamanghasset, Algeria,0.517,27.6333,4.06667
Acfer 067,,Official,1990,Tamanghasset, Algeria,0.383,27.7167,4.78333
Acfer 068,,Official,1990,Tamanghasset, Algeria,1.805,27.55,3.7
Acfer 069,,Official,1990,Tamanghasset, Algeria,0.941,27.5333,3.83333
Acfer 070,,Official,1990,Tamanghasset, Algeria,0.138,27.6833,4.48333
Acfer 071,,Official,1990,Tamanghasset, Algeria,1.379,27.6333,4.28333
Acfer 072,,Official,1990,Tamanghasset, Algeria,0.162,27.6333,4.25
Acfer 073,,Official,1990,Tamanghasset, Algeria,2.01,27.5333,3.85
Acfer 074,,Official,1990,Tamanghasset, Algeria,0.384,27.4833,3.83333
Acfer 075,,Official,1990,Tamanghasset, Algeria,1.453,27.5167,3.73333
Acfer 076,,Official,1990,Tamanghasset, Algeria,0.183,27.7,4.35
Acfer 077,,Official,1990,Tamanghasset, Algeria,2.54,27.6333,4.51667
Acfer 078,,Official,1990,Tamanghasset, Algeria,0.105,27.5667,4.15
Acfer 079,,Official,1990,Tamanghasset, Algeria,0.387,27.5,3.68333
Acfer 080,,Official,1990,Tamanghasset, Algeria,0.574,27.6333,4.51667
Acfer 081,,Official,1990,Tamanghasset, Algeria,0.11,27.5333,3.86667
Acfer 082,,Official,1990,Tamanghasset, Algeria,0.208,27.5,3.48333
Acfer 083,,Official,1990,Tamanghasset, Algeria,0.69,27.4833,3.63333
Acfer 084,,Official,1990,Tamanghasset, Algeria,6.3,27.55,3.86667
Acfer 085,,Official,1990,Tamanghasset, Algeria,0.293,27.5833,3.95
Acfer 086,,Official,1990,Tamanghasset, Algeria,0.173,27.6667,4.18333
Acfer 087,,Official,1990,Tamanghasset, Algeria,0.163,27.7,4.26667
